,intent,snip
950,Changing file permission in python,"os.chmod(path, stat.S_IRUSR | stat.S_IRGRP | stat.S_IROTH)"
951,Multiple files for one argument in argparse Python 2.7,"parser.add_argument('file', nargs='*')"
952,Comparing values in two lists in Python,"z = [(i == j) for i, j in zip(x, y)]"
953,Comparing values in two lists in Python,[(x[i] == y[i]) for i in range(len(x))]
954,Python: Extract numbers from a string,"[int(s) for s in re.findall('\\b\\d+\\b', ""he33llo 42 I'm a 32 string 30"")]"
955,Create an empty data frame with index from another data frame,df2 = pd.DataFrame(index=df1.index)
956,How do I convert a string 2 bytes long to an integer in python,"struct.unpack('h', pS[0:2])"
957,Printing lists onto tables in python,"print('\n'.join('  '.join(map(str, row)) for row in t))"
958,Sort Pandas Dataframe by Date,df.sort_values(by='Date')
959,How can I check if a checkbox is checked in Selenium Python Webdriver?,driver.find_element_by_name('<check_box_name>').is_selected()
960,How can I check if a checkbox is checked in Selenium Python Webdriver?,driver.find_element_by_id('<check_box_id>').is_selected()
961,Is it possible to use 'else' in a python list comprehension?,"[(a if a else 2) for a in [0, 1, 0, 3]]"
962,Parsing string containing Unicode character names,'M\\N{AMPERSAND}M\\N{APOSTROPHE}s'.encode().decode('unicode-escape')
963,Parsing string containing Unicode character names,'M\\N{AMPERSAND}M\\N{APOSTROPHE}s'.decode('unicode-escape')
964,Convert unicode codepoint to UTF8 hex in python,"chr(int('fd9b', 16)).encode('utf-8')"
965,How can I get Python to use upper case letters to print hex values?,print('0x%X' % value)
966,How to remove empty string in a list?,cleaned = [x for x in your_list if x]
967,Python: Want to use a string as a slice specifier,slice(*[(int(i.strip()) if i else None) for i in string_slice.split(':')])
968,Beautiful Soup Using Regex to Find Tags?,"soup.find_all(['a', 'div'])"
969,Get function name as a string in python,print(func.__name__)
970,How to convert dictionary into string,""""""""""""".join('{}{}'.format(key, val) for key, val in sorted(adict.items()))"
971,How to convert dictionary into string,""""""""""""".join('{}{}'.format(key, val) for key, val in list(adict.items()))"
972,copy a list,new_list = old_list[:]
973,copy a list,new_list = list(old_list)
974,copy a list,new_list = copy.copy(old_list)
975,copy a list,new_list = copy.deepcopy(old_list)
976,copy a list,[i for i in old_list]
977,Remove or adapt border of frame of legend using matplotlib,plt.legend(frameon=False)
978,How to work with surrogate pairs in Python?,"""""""\\ud83d\\ude4f"""""".encode('utf-16', 'surrogatepass').decode('utf-16')"
979,Calling a function of a module from a string with the function's name in Python,globals()['myfunction']()
980,Checking if a website is up,urllib.request.urlopen('http://www.stackoverflow.com').getcode()
981,Checking if a website is up,"conn = httplib.HTTPConnection('www.python.org')\nconn.request('HEAD', '/')\nr1 = conn.getresponse()\nprint(r1.status, r1.reason)"
982,Checking if a website is up,r = requests.head(url)\nreturn (r.status_code == 200)
983,Checking if a website is up,print(urllib.request.urlopen('http://www.stackoverflow.com').getcode())
984,Selenium open pop up window [Python],"driver.find_element_by_css_selector(""a[href^='javascript']"").click()"
985,How to store data frame using PANDAS,df.to_pickle(file_name)
986,Pandas: Mean of columns with the same names,"df.groupby(by=df.columns, axis=1).mean()"
987,How to perform double sort inside an array?,"bar.sort(key=lambda x: (x.attrb1, x.attrb2), reverse=True)"
988,How to get alpha value of a PNG image with PIL?,alpha = img.split()[-1]
989,How to get the length of words in a sentence?,[len(x) for x in s.split()]
990,Find a specific tag with BeautifulSoup,"soup.findAll('div', style='width=300px;')"
991,Using a Python dict for a SQL INSERT statement,"cursor.execute(sql, list(myDict.values()))"
992,Preserving Column Order - Python Pandas and Column Concat,"df.to_csv('Result.csv', index=False, sep=' ')"
993,Python: Extract variables out of namespace,globals().update(vars(args))
994,Regular expression to return all characters between two special characters,"re.findall('\\[(.*?)\\]', mystring)"
995,Python,"print('%.2f kg = %.2f lb = %.2f gal = %.2f l' % (var1, var2, var3, var4))"
996,The best way to filter a dictionary in Python,"d = dict((k, v) for k, v in d.items() if v > 0)"
997,The best way to filter a dictionary in Python,"d = {k: v for k, v in list(d.items()) if v > 0}"
998,In Pandas how do I convert a string of date strings to datetime objects and put them in a DataFrame?,pd.to_datetime(pd.Series(date_stngs))
999,Print the complete string of a pandas dataframe,"df.iloc[2, 0]"
1000,How to change the font size on a matplotlib plot,matplotlib.rcParams.update({'font.size': 22})
1001,Convert Python dict into a dataframe,"pd.DataFrame(list(d.items()), columns=['Date', 'DateValue'])"
1002,Pandas: Elementwise multiplication of two dataframes,"pd.DataFrame(df.values * df2.values, columns=df.columns, index=df.index)"
1003,How to extract a floating number from a string,"re.findall('\\d+\\.\\d+', 'Current Level: 13.4 db.')"
1004,How to extract a floating number from a string,"re.findall('[-+]?\\d*\\.\\d+|\\d+', 'Current Level: -13.2 db or 14.2 or 3')"
1005,Convert List to a list of tuples python,"zip(it, it, it)"
1006,How to lowercase a python dataframe string column if it has missing values?,df['x'].str.lower()
1007,python append to array in json object,"jsobj['a']['b']['e'].append({'f': var6, 'g': var7, 'h': var8})"
1008,Most Pythonic way to concatenate strings,""""""""""""".join(lst)"
1009,Python: Sum values in a dictionary based on condition,sum(v for v in list(d.values()) if v > 0)
1010,Flask application traceback doesn't show up in server log,app.run(debug=True)
1011,How to drop a list of rows from Pandas dataframe?,"df.drop(df.index[[1, 3]], inplace=True)"
1012,pandas DataFrame: replace nan values with average of columns,"df.apply(lambda x: x.fillna(x.mean()), axis=0)"
1013,How to extract from a list of objects a list of specific attribute?,[o.my_attr for o in my_list]
1014,python get time stamp on file in mm/dd/yyyy format,"time.strftime('%m/%d/%Y', time.gmtime(os.path.getmtime(file)))"
1015,Python: Check if one dictionary is a subset of another larger dictionary,all(item in list(superset.items()) for item in list(subset.items()))
1016,Python: for loop in index assignment,[str(wi) for wi in wordids]
1017,Indexing a pandas dataframe by integer,df2 = df.reset_index()
1018,Convert datetime object to a String of date only in Python,dt.strftime('%m/%d/%Y')
1019,Python Add Comma Into Number String,"print('Total cost is: ${:,.2f}'.format(TotalAmount))"
1020,Sum of Every Two Columns in Pandas dataframe,"df.groupby(np.arange(len(df.columns)) // 2 + 1, axis=1).sum().add_prefix('s')"
1021,creating list of random numbers in python,randomList = [random.random() for _ in range(10)]
1022,beautifulsoup can't find href in file using regular expression,"print(soup.find('a', href=re.compile('.*follow\\?page.*')))"
1023,In Python,sys.stdout.flush()
1024,How to get a random value in python dictionary,"country, capital = random.choice(list(d.items()))"
1025,Is there a function in python to split a word into a list?,list('Word to Split')
1026,Regex: How to match words without consecutive vowels?,"[w for w in open('file.txt') if not re.search('[aeiou]{2}', w)]"
1027,Using a RegEx to match IP addresses in Python,"pat = re.compile('^\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}$')"
1028,How to execute a file within the python interpreter?,"exec(compile(open('filename.py').read(), 'filename.py', 'exec'))"
1029,Returning distinct rows in SQLAlchemy with SQLite,session.query(Tag).distinct(Tag.name).group_by(Tag.name).count()
1030,Remove NULL columns in a dataframe Pandas?,"df = df.dropna(axis=1, how='all')"
1031,Python counting elements of a list within a list,all(x.count(1) == 3 for x in L)
1032,Comparing elements between elements in two lists of tuples,[x[0] for x in l1 if any(x[0] == y[0] for y in l2)]
1033,how to clear/delete the Textbox in tkinter python on Ubuntu,"tex.delete('1.0', END)"
1034,Python convert long to date,datetime.datetime.fromtimestamp(myNumber).strftime('%Y-%m-%d %H:%M:%S')
1035,How can I start a Python thread FROM C++?,system('python myscript.py')
1036,sorting a list with objects of a class as its items,your_list.sort(key=operator.attrgetter('anniversary_score'))
1037,sorting a list with objects of a class as its items,your_list.sort(key=lambda x: x.anniversary_score)
1038,How can I convert a tensor into a numpy array in TensorFlow?,"print(type(tf.Session().run(tf.constant([1, 2, 3]))))"
1039,in Python,list(itertools.chain(*a))
1040,How do I pythonically set a value in a dictionary if it is None?,"count.setdefault('a', 0)"
1041,Python Pandas : group by in group by and average?,df.groupby(['cluster']).mean()
1042,from list of integers,"min(myList, key=lambda x: abs(x - myNumber))"
1043,Find array item in a string,any(x in string for x in search)
1044,Find string with regular expression in python,print(pattern.search(url).group(1))
1045,"How do I convert all strings (like ""Fault"") and into a unique float?",(s.factorize()[0] + 1).astype('float')
1046,Subtract values in one list from corresponding values in another list - Python,"C = [(a - b) for a, b in zip(A, B)]"
1047,How to derive the week start for a given (iso) weeknumber / year in python,"datetime.datetime.strptime('2011, 4, 0', '%Y, %U, %w')"
1048,Python: How do I convert an array of strings to an array of numbers?,"map(int, ['1', '-1', '1'])"
1049,"How to create datetime object from ""16SEP2012"" in python","datetime.datetime.strptime('16Sep2012', '%d%b%Y')"
1050,How do I use a dictionary to update fields in Django models?,Book.objects.filter(pk=pk).update(**d)
1051,How do I use a dictionary to update fields in Django models?,Book.objects.create(**d)
1052,Precision in python,print('{0:.2f}'.format(your_number))
1053,Python: How to generate a 12-digit random number?,"random.randint(100000000000, 999999999999)"
1054,Python: How to generate a 12-digit random number?,"int(''.join(str(random.randint(0, 9)) for _ in range(12)))"
1055,Python: How to generate a 12-digit random number?,""""""""""""".join(str(random.randint(0, 9)) for _ in range(12))"
1056,Python: How to generate a 12-digit random number?,"'%0.12d' % random.randint(0, 999999999999)"
1057,How to remove specific elements in a numpy array,"numpy.delete(a, index)"
1058,Sort a list based on dictionary values in python?,"sorted(trial_list, key=lambda x: trial_dict[x])"
1059,read a single character from the user,sys.stdin.read(1)
1060,How to get a list of matchable characters from a regex class,"print(re.findall(pattern, x))"
1061,how to get the context of a search in BeautifulSoup?,k = soup.find(text=re.compile('My keywords')).parent.text
1062,Convert a row in pandas into list,"df.apply(lambda x: x.tolist(), axis=1)"
1063,Convert a 1D array to a 2D array in numpy,"B = np.reshape(A, (-1, 2))"
1064,Flask - How to make an app externally visible through a router?,"app.run(host='192.168.0.58', port=9000, debug=False)"
1065,Stdout encoding in python,print('\xc5\xc4\xd6'.encode('UTF8'))
1066,Best way to get the nth element of each tuple from a list of tuples in Python,[x[0] for x in G]
1067,Regular expression matching all but a string,"re.findall('-(?!aa-|bb-)([^-]+)', string)"
1068,Regular expression matching all but a string,"re.findall('-(?!aa|bb)([^-]+)', string)"
1069,Removing entries from a dictionary based on values,"{k: v for k, v in list(hand.items()) if v}"
1070,Removing entries from a dictionary based on values,"dict((k, v) for k, v in hand.items() if v)"
1071,Python sorting - A list of objects,"sorted(L, key=operator.itemgetter('resultType'))"
1072,Python sorting - A list of objects,s.sort(key=operator.attrgetter('resultType'))
1073,Python sorting - A list of objects,somelist.sort(key=lambda x: x.resultType)
1074,pandas joining multiple dataframes on columns,"df1.merge(df2, on='name').merge(df3, on='name')"
1075,random Decimal in python,decimal.Decimal(random.randrange(10000)) / 100
1076,list all files of a directory,"onlyfiles = [f for f in listdir(mypath) if isfile(join(mypath, f))]"
1077,list all files of a directory,"f = []\nfor (dirpath, dirnames, filenames) in walk(mypath):\n    f.extend(filenames)\n    break"
1078,list all files of a directory,print(glob.glob('/home/adam/*.txt'))
1079,list all files of a directory,os.listdir('somedirectory')
1080,psycopg2: insert multiple rows with one query,"cur.executemany('INSERT INTO table VALUES(%s,%s,%s,%s,%s,%s,%s,%s,%s)', tup)"
